phase,date,species,alive,trap_site,arm,trap_type,trap_position,fence_colour,recapture,site_of_first_capture,size_class,truncated_tail
post-treatment,2006-04-18,Trachylepis capensis,alive,D1,4,bucket,NA,NA,no,NA,adult,NA
post-treatment,2006-04-18,Trachylepis capensis,alive,D2,0,bucket,NA,NA,yes,D2,adult,NA
post-treatment,2006-04-18,Panaspis wahlbergii,alive,Z3,4,bucket,NA,NA,NA,NA,adult,NA
post-treatment,2006-04-18,Trachylepis capensis,dead,Z2,0,bucket,NA,NA,no,NA,adult,NA
post-treatment,2006-04-18,Trachylepis varia,alive,Z2,3,bucket,NA,NA,no,NA,adult,NA
post-treatment,2006-04-18,Gerrhosaurus flavigularis,alive,Z1,0,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-04-18,Gerrhosaurus flavigularis,alive,6C,0,bucket,NA,NA,yes,6C,juvenile,NA
post-treatment,2006-04-18,Trachylepis capensis,alive,6C,4,funnel,7,black,no,NA,juvenile,NA
post-treatment,2006-04-18,Trachylepis capensis,alive,6B,2,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-04-18,Panaspis wahlbergii,alive,6A,1,bucket,NA,NA,NA,NA,adult,NA
post-treatment,2006-04-19,Panaspis wahlbergii,alive,13B,1,funnel,2,black,NA,NA,adult,NA
post-treatment,2006-04-19,Bitis arietans arietans,alive,D2,1,bucket,NA,NA,NA,NA,adult,NA
post-treatment,2006-04-19,Trachylepis capensis,alive,D2,2,funnel,3,black,no,NA,adult,NA
post-treatment,2006-04-19,Trachylepis varia,alive,D3,1,bucket,NA,NA,no,NA,adult,NA
post-treatment,2006-04-19,Trachylepis varia,alive,Z2,3,funnel,6,black,yes,Z2,adult,NA
post-treatment,2006-04-19,Trachylepis varia,alive,Z1,4,funnel,8,black,no,NA,adult,NA
post-treatment,2006-04-19,Panaspis wahlbergii,alive,6C,4,bucket,NA,NA,NA,NA,adult,NA
post-treatment,2006-04-19,Gerrhosaurus flavigularis,alive,6A,2,funnel,4,black,no,NA,juvenile,NA
post-treatment,2006-04-20,Trachylepis varia,alive,13A,4,funnel,7,blue,no,NA,adult,NA
post-treatment,2006-04-20,Trachylepis varia,alive,D1,1,funnel,2,black,no,NA,adult,NA
post-treatment,2006-04-20,Gerrhosaurus flavigularis,alive,Z3,1,funnel,1,black,no,NA,adult,NA
post-treatment,2006-04-20,Trachylepis varia,alive,Z3,4,funnel,7,blue,yes,Z3,adult,NA
post-treatment,2006-04-20,Panaspis wahlbergii,alive,Z2,0,bucket,NA,NA,NA,NA,adult,NA
post-treatment,2006-04-20,Trachylepis varia,alive,Z1,0,bucket,NA,NA,no,NA,adult,NA
post-treatment,2006-04-20,Gerrhosaurus flavigularis,alive,6B,3,funnel,6,blue,yes,6B,adult,NA
post-treatment,2006-04-20,Panaspis wahlbergii,alive,6A,4,funnel,8,black,NA,NA,adult,NA
post-treatment,2006-04-20,Trachylepis varia,alive,6A,1,funnel,2,black,no,NA,adult,NA
post-treatment,2006-04-21,Bitis arietans arietans,alive,13B,1,bucket,NA,NA,NA,NA,adult,NA
post-treatment,2006-04-21,Panaspis wahlbergii,alive,13B,1,funnel,2,black,NA,NA,adult,NA
post-treatment,2006-04-21,Bitis arietans arietans,alive,D3,1,bucket,NA,NA,NA,NA,juvenile,NA
post-treatment,2006-04-21,Trachylepis capensis,alive,D3,1,funnel,1,black,no,NA,adult,NA
post-treatment,2006-04-21,Bitis arietans arietans,alive,Z3,4,funnel,7,blue,NA,NA,adult,NA
post-treatment,2006-04-21,Panaspis wahlbergii,alive,Z1,2,funnel,3,blue,NA,NA,adult,NA
post-treatment,2006-04-21,Gerrhosaurus flavigularis,alive,6C,3,funnel,5,black,no,NA,juvenile,NA
post-treatment,2006-04-21,Trachylepis capensis,alive,6B,4,bucket,NA,NA,yes,6B,adult,NA
post-treatment,2006-04-22,Gerrhosaurus flavigularis,alive,D2,0,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-04-22,Bitis arietans arietans,alive,Z3,2,funnel,4,black,NA,NA,adult,NA
post-treatment,2006-04-25,Trachylepis capensis,alive,6A,2,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-04-25,Trachylepis varia,alive,6A,2,bucket,NA,NA,no,NA,adult,NA
post-treatment,2006-04-25,Psammophylax rhombeatus,alive,6C,4,funnel,7,black,NA,NA,adult,NA
post-treatment,2006-04-25,Gerrhosaurus flavigularis,alive,6B,0,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-04-25,Trachylepis capensis,alive,6B,1,bucket,NA,NA,yes,6B,adult,NA
post-treatment,2006-04-25,Trachylepis capensis,alive,6B,3,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-04-25,Trachylepis capensis,alive,Z1,2,funnel,4,NA,no,NA,juvenile,NA
post-treatment,2006-04-25,Gerrhosaurus flavigularis,alive,Z1,3,funnel,6,NA,yes,Z1,adult,NA
post-treatment,2006-04-25,Trachylepis capensis,alive,Z1,1,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-04-25,Bitis arietans arietans,alive,Z3,4,bucket,NA,NA,NA,NA,juvenile,NA
